TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.0,0.0,38
0.5,15.0,1.23,-160,0.07894736842105263,0.04433127181293719,38
0.5,15.0,1.23,-120,0.05263157894736842,0.036709780655942936,38
0.5,15.0,1.23,-80,0.34210526315789475,0.07799328662681831,38
0.5,15.0,1.23,-40,0.7105263157894737,0.07455791696866065,38
0.5,15.0,1.23,0,0.868421052631579,0.05557219020090343,38
0.5,15.0,1.23,40,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,80,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,200,1.0,0.0,38
1.0,5.0,1.23,-200,0.10526315789473684,0.050452767712569555,38
1.0,5.0,1.23,-160,0.18421052631578946,0.06373021861834363,38
1.0,5.0,1.23,-120,0.18421052631578946,0.06373021861834363,38
1.0,5.0,1.23,-80,0.47368421052631576,0.08208556498579521,38
1.0,5.0,1.23,-40,0.7631578947368421,0.06989334006042335,38
1.0,5.0,1.23,0,0.8421052631578947,0.05994682078436837,38
1.0,5.0,1.23,40,0.7368421052631579,0.07239266372688177,38
1.0,5.0,1.23,80,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,160,0.9473684210526315,0.03670978065594293,38
1.0,5.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.03,-160,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.03,-120,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.03,-80,0.15789473684210525,0.05994682078436835,38
1.0,15.0,0.03,-40,0.34210526315789475,0.0779932866268183,38
1.0,15.0,0.03,0,0.8157894736842105,0.06373021861834363,38
1.0,15.0,0.03,40,0.8947368421052632,0.050452767712569555,38
1.0,15.0,0.03,80,1.0,0.0,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,0.9473684210526315,0.03670978065594293,38
1.0,15.0,0.03,200,1.0,0.0,38
1.0,15.0,0.22,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-160,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-120,0.02631578947368421,0.02631578947368421,38
1.0,15.0,0.22,-80,0.18421052631578946,0.06373021861834363,38
1.0,15.0,0.22,-40,0.5789473684210527,0.08116837904800629,38
1.0,15.0,0.22,0,0.8947368421052632,0.05045276771256957,38
1.0,15.0,0.22,40,1.0,0.0,38
1.0,15.0,0.22,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,120,1.0,0.0,38
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,-200,0.0,0.0,38
1.0,15.0,1.23,-160,0.05263157894736842,0.036709780655942936,38
1.0,15.0,1.23,-120,0.05263157894736842,0.036709780655942936,38
1.0,15.0,1.23,-80,0.23684210526315788,0.06989334006042332,38
1.0,15.0,1.23,-40,0.8421052631578947,0.059946820784368374,38
1.0,15.0,1.23,0,0.9210526315789473,0.044331271812937195,38
1.0,15.0,1.23,40,0.9473684210526315,0.036709780655942936,38
1.0,15.0,1.23,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,-200,0.0,0.0,38
1.0,15.0,4.7,-160,0.05263157894736842,0.036709780655942936,38
1.0,15.0,4.7,-120,0.07894736842105263,0.04433127181293719,38
1.0,15.0,4.7,-80,0.6578947368421053,0.0779932866268183,38
1.0,15.0,4.7,-40,0.8421052631578947,0.05994682078436835,38
1.0,15.0,4.7,0,1.0,0.0,38
1.0,15.0,4.7,40,1.0,0.0,38
1.0,15.0,4.7,80,0.9473684210526315,0.036709780655942936,38
1.0,15.0,4.7,120,1.0,0.0,38
1.0,15.0,4.7,160,1.0,0.0,38
1.0,15.0,4.7,200,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,-200,0.0,0.0,38
1.0,25.0,1.23,-160,0.02631578947368421,0.02631578947368421,38
1.0,25.0,1.23,-120,0.02631578947368421,0.02631578947368421,38
1.0,25.0,1.23,-80,0.18421052631578946,0.06373021861834363,38
1.0,25.0,1.23,-40,0.9210526315789473,0.04433127181293719,38
1.0,25.0,1.23,0,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,40,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,80,0.9473684210526315,0.036709780655942936,38
1.0,25.0,1.23,120,0.9473684210526315,0.036709780655942936,38
1.0,25.0,1.23,160,1.0,0.0,38
1.0,25.0,1.23,200,1.0,0.0,38
3.0,15.0,1.23,-200,0.02631578947368421,0.02631578947368421,38
3.0,15.0,1.23,-160,0.0,0.0,38
3.0,15.0,1.23,-120,0.05263157894736842,0.036709780655942936,38
3.0,15.0,1.23,-80,0.3157894736842105,0.07641750223933595,38
3.0,15.0,1.23,-40,0.868421052631579,0.05557219020090343,38
3.0,15.0,1.23,0,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,40,1.0,0.0,38
3.0,15.0,1.23,80,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,120,1.0,0.0,38
3.0,15.0,1.23,160,1.0,0.0,38
3.0,15.0,1.23,200,1.0,0.0,38
