TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.15789473684210525,0.05994682078436836,38
0.5,15.0,1.23,-160,0.15789473684210525,0.05994682078436835,38
0.5,15.0,1.23,-120,0.18421052631578946,0.06373021861834363,38
0.5,15.0,1.23,-80,0.2631578947368421,0.07239266372688177,38
0.5,15.0,1.23,-40,0.5526315789473685,0.0817428262655419,38
0.5,15.0,1.23,0,0.7368421052631579,0.07239266372688177,38
0.5,15.0,1.23,40,0.8421052631578947,0.05994682078436836,38
0.5,15.0,1.23,80,0.8947368421052632,0.05045276771256955,38
0.5,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,5.0,1.23,-200,0.15789473684210525,0.05994682078436837,38
1.0,5.0,1.23,-160,0.18421052631578946,0.06373021861834363,38
1.0,5.0,1.23,-120,0.2894736842105263,0.07455791696866065,38
1.0,5.0,1.23,-80,0.3684210526315789,0.07930218984219832,38
1.0,5.0,1.23,-40,0.5,0.08219949365267863,38
1.0,5.0,1.23,0,0.6578947368421053,0.07799328662681831,38
1.0,5.0,1.23,40,0.6578947368421053,0.07799328662681831,38
1.0,5.0,1.23,80,0.7894736842105263,0.06702258315442246,38
1.0,5.0,1.23,120,0.868421052631579,0.055572190200903426,38
1.0,5.0,1.23,160,0.8157894736842105,0.06373021861834363,38
1.0,5.0,1.23,200,0.9210526315789473,0.044331271812937195,38
1.0,15.0,0.03,-200,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.03,-160,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.03,-120,0.21052631578947367,0.06702258315442246,38
1.0,15.0,0.03,-80,0.2631578947368421,0.07239266372688177,38
1.0,15.0,0.03,-40,0.34210526315789475,0.0779932866268183,38
1.0,15.0,0.03,0,0.7105263157894737,0.07455791696866067,38
1.0,15.0,0.03,40,0.7368421052631579,0.07239266372688177,38
1.0,15.0,0.03,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,1.0,0.0,38
1.0,15.0,0.03,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,-200,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.22,-160,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.22,-120,0.15789473684210525,0.05994682078436835,38
1.0,15.0,0.22,-80,0.23684210526315788,0.06989334006042335,38
1.0,15.0,0.22,-40,0.4473684210526316,0.08174282626554188,38
1.0,15.0,0.22,0,0.6842105263157895,0.07641750223933595,38
1.0,15.0,0.22,40,0.9210526315789473,0.044331271812937195,38
1.0,15.0,0.22,80,1.0,0.0,38
1.0,15.0,0.22,120,1.0,0.0,38
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,1.0,0.0,38
1.0,15.0,1.23,-200,0.05263157894736842,0.036709780655942936,38
1.0,15.0,1.23,-160,0.18421052631578946,0.06373021861834363,38
1.0,15.0,1.23,-120,0.10526315789473684,0.050452767712569555,38
1.0,15.0,1.23,-80,0.23684210526315788,0.06989334006042333,38
1.0,15.0,1.23,-40,0.6842105263157895,0.07641750223933595,38
1.0,15.0,1.23,0,0.8421052631578947,0.05994682078436836,38
1.0,15.0,1.23,40,0.9473684210526315,0.03670978065594293,38
1.0,15.0,1.23,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,120,1.0,0.0,38
