TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.02631578947368421,0.02631578947368421,38
0.5,15.0,1.23,-160,0.15789473684210525,0.05994682078436835,38
0.5,15.0,1.23,-120,0.10526315789473684,0.05045276771256955,38
0.5,15.0,1.23,-80,0.2894736842105263,0.07455791696866067,38
0.5,15.0,1.23,-40,0.6578947368421053,0.0779932866268183,38
0.5,15.0,1.23,0,0.8157894736842105,0.06373021861834363,38
0.5,15.0,1.23,40,0.868421052631579,0.05557219020090343,38
0.5,15.0,1.23,80,0.918918918918919,0.04549326548811748,37
0.5,15.0,1.23,120,0.9473684210526315,0.036709780655942936,38
0.5,15.0,1.23,160,0.9210526315789473,0.044331271812937195,38
0.5,15.0,1.23,200,1.0,0.0,37
1.0,5.0,1.23,-200,0.13157894736842105,0.05557219020090343,38
1.0,5.0,1.23,-160,0.18421052631578946,0.06373021861834363,38
1.0,5.0,1.23,-120,0.2702702702702703,0.07401656182502243,37
1.0,5.0,1.23,-80,0.39473684210526316,0.0803572542664568,38
1.0,5.0,1.23,-40,0.6578947368421053,0.0779932866268183,38
1.0,5.0,1.23,0,0.7894736842105263,0.06702258315442246,38
1.0,5.0,1.23,40,0.6052631578947368,0.08035725426645682,38
1.0,5.0,1.23,80,0.8648648648648649,0.0569779758588897,37
1.0,5.0,1.23,120,0.8947368421052632,0.050452767712569555,38
1.0,5.0,1.23,160,0.9210526315789473,0.044331271812937195,38
1.0,5.0,1.23,200,0.9473684210526315,0.036709780655942936,38
1.0,15.0,0.03,-200,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.03,-160,0.08108108108108109,0.045493265488117454,37
1.0,15.0,0.03,-120,0.13157894736842105,0.05557219020090344,38
1.0,15.0,0.03,-80,0.21052631578947367,0.06702258315442246,38
1.0,15.0,0.03,-40,0.35135135135135137,0.07956541321016078,37
1.0,15.0,0.03,0,0.8421052631578947,0.05994682078436836,38
1.0,15.0,0.03,40,0.8421052631578947,0.05994682078436836,38
1.0,15.0,0.03,80,1.0,0.0,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,1.0,0.0,38
1.0,15.0,0.03,200,1.0,0.0,38
1.0,15.0,0.22,-200,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.22,-160,0.10526315789473684,0.050452767712569555,38
1.0,15.0,0.22,-120,0.10526315789473684,0.050452767712569555,38
1.0,15.0,0.22,-80,0.13157894736842105,0.05557219020090344,38
1.0,15.0,0.22,-40,0.5405405405405406,0.08305895907471071,37
1.0,15.0,0.22,0,0.8648648648648649,0.056977975858889716,37
1.0,15.0,0.22,40,0.9459459459459459,0.03768738858261602,37
1.0,15.0,0.22,80,0.9736842105263158,0.02631578947368421,38
1.0,15.0,0.22,120,1.0,0.0,37
1.0,15.0,0.22,160,1.0,0.0,38
1.0,15.0,0.22,200,1.0,0.0,38
1.0,15.0,1.23,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,1.23,-160,0.13157894736842105,0.055572190200903426,38
1.0,15.0,1.23,-120,0.10526315789473684,0.05045276771256955,38
1.0,15.0,1.23,-80,0.2631578947368421,0.07239266372688176,38
1.0,15.0,1.23,-40,0.7105263157894737,0.07455791696866067,38
1.0,15.0,1.23,0,0.868421052631579,0.05557219020090342,38
1.0,15.0,1.23,40,0.9473684210526315,0.03670978065594293,38
1.0,15.0,1.23,80,0.972972972972973,0.027027027027027025,37
1.0,15.0,1.23,120,1.0,0.0,38
1.0,15.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,1.23,200,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,-200,0.02631578947368421,0.02631578947368421,38
1.0,15.0,4.7,-160,0.13513513513513514,0.056977975858889716,37
1.0,15.0,4.7,-120,0.13157894736842105,0.05557219020090343,38
1.0,15.0,4.7,-80,0.6842105263157895,0.07641750223933595,38
1.0,15.0,4.7,-40,0.7894736842105263,0.06702258315442246,38
1.0,15.0,4.7,0,0.9473684210526315,0.036709780655942936,38
1.0,15.0,4.7,40,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,80,0.9459459459459459,0.037687388582616034,37
1.0,15.0,4.7,120,1.0,0.0,38
1.0,15.0,4.7,160,0.9736842105263158,0.02631578947368421,38
1.0,15.0,4.7,200,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,-200,0.0,0.0,38
1.0,25.0,1.23,-160,0.02702702702702703,0.027027027027027025,37
1.0,25.0,1.23,-120,0.08108108108108109,0.04549326548811747,37
1.0,25.0,1.23,-80,0.21052631578947367,0.06702258315442246,38
1.0,25.0,1.23,-40,0.868421052631579,0.055572190200903426,38
1.0,25.0,1.23,0,0.9210526315789473,0.04433127181293721,38
1.0,25.0,1.23,40,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,80,0.972972972972973,0.027027027027027025,37
1.0,25.0,1.23,120,0.9459459459459459,0.03768738858261602,37
1.0,25.0,1.23,160,0.9736842105263158,0.02631578947368421,38
1.0,25.0,1.23,200,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,-200,0.02631578947368421,0.026315789473684206,38
3.0,15.0,1.23,-160,0.0,0.0,38
3.0,15.0,1.23,-120,0.10526315789473684,0.05045276771256955,38
3.0,15.0,1.23,-80,0.3157894736842105,0.07641750223933595,38
3.0,15.0,1.23,-40,0.8157894736842105,0.06373021861834363,38
3.0,15.0,1.23,0,0.9736842105263158,0.02631578947368421,38
3.0,15.0,1.23,40,1.0,0.0,38
3.0,15.0,1.23,80,0.9459459459459459,0.03768738858261602,37
3.0,15.0,1.23,120,1.0,0.0,38
3.0,15.0,1.23,160,1.0,0.0,38
3.0,15.0,1.23,200,1.0,0.0,38
