TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
0.5,15.0,1.23,-200,0.05263157894736842,0.036709780655942936,38
0.5,15.0,1.23,-160,0.05263157894736842,0.036709780655942936,38
0.5,15.0,1.23,-120,0.18421052631578946,0.06373021861834363,38
0.5,15.0,1.23,-80,0.2631578947368421,0.07239266372688177,38
0.5,15.0,1.23,-40,0.7368421052631579,0.07239266372688177,38
0.5,15.0,1.23,0,0.8157894736842105,0.06373021861834363,38
0.5,15.0,1.23,40,0.868421052631579,0.05557219020090343,38
0.5,15.0,1.23,80,0.9459459459459459,0.03768738858261602,37
0.5,15.0,1.23,120,0.9736842105263158,0.02631578947368421,38
0.5,15.0,1.23,160,0.9473684210526315,0.03670978065594293,38
0.5,15.0,1.23,200,1.0,0.0,37
1.0,5.0,1.23,-200,0.13157894736842105,0.05557219020090343,38
1.0,5.0,1.23,-160,0.13157894736842105,0.05557219020090344,38
1.0,5.0,1.23,-120,0.1891891891891892,0.06527647182968216,37
1.0,5.0,1.23,-80,0.39473684210526316,0.0803572542664568,38
1.0,5.0,1.23,-40,0.6578947368421053,0.07799328662681831,38
1.0,5.0,1.23,0,0.7368421052631579,0.07239266372688177,38
1.0,5.0,1.23,40,0.7105263157894737,0.07455791696866067,38
1.0,5.0,1.23,80,0.8378378378378378,0.06143325088732368,37
1.0,5.0,1.23,120,0.9210526315789473,0.044331271812937195,38
1.0,5.0,1.23,160,0.868421052631579,0.055572190200903426,38
1.0,5.0,1.23,200,0.9473684210526315,0.036709780655942936,38
1.0,15.0,0.03,-200,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.03,-160,0.05405405405405406,0.03768738858261602,37
1.0,15.0,0.03,-120,0.10526315789473684,0.05045276771256956,38
1.0,15.0,0.03,-80,0.15789473684210525,0.05994682078436837,38
1.0,15.0,0.03,-40,0.1891891891891892,0.06527647182968216,37
1.0,15.0,0.03,0,0.7368421052631579,0.07239266372688179,38
1.0,15.0,0.03,40,0.8157894736842105,0.06373021861834363,38
1.0,15.0,0.03,80,1.0,0.0,38
1.0,15.0,0.03,120,1.0,0.0,38
1.0,15.0,0.03,160,1.0,0.0,38
1.0,15.0,0.03,200,1.0,0.0,38
1.0,15.0,0.22,-200,0.05263157894736842,0.036709780655942936,38
1.0,15.0,0.22,-160,0.07894736842105263,0.04433127181293719,38
1.0,15.0,0.22,-120,0.13157894736842105,0.05557219020090344,38
1.0,15.0,0.22,-80,0.18421052631578946,0.06373021861834363,38
1.0,15.0,0.22,-40,0.3783783783783784,0.08083044344561423,37
